All are total faces.
Top: 4753 	 Side: 98 	 Total: 4851 	 n-gon: 198
Top: 4851 	 Side: 99 	 Total: 4950 	 n-gon: 200


Top: 4950 	 Side: 100 	 Total: 5050 	 n-gon: 202
Top: 5050 	 Side: 101 	 Total: 5151 	 n-gon: 204
Top: 5151 	 Side: 102 	 Total: 5253 	 n-gon: 206
Top: 5253 	 Side: 103 	 Total: 5356 	 n-gon: 208
Top: 5356 	 Side: 104 	 Total: 5460 	 n-gon: 210
Top: 5460 	 Side: 105 	 Total: 5565 	 n-gon: 212
Top: 5565 	 Side: 106 	 Total: 5671 	 n-gon: 214
Top: 5671 	 Side: 107 	 Total: 5778 	 n-gon: 216
Top: 5778 	 Side: 108 	 Total: 5886 	 n-gon: 218
Top: 5886 	 Side: 109 	 Total: 5995 	 n-gon: 220
Top: 5995 	 Side: 110 	 Total: 6105 	 n-gon: 222
Top: 6105 	 Side: 111 	 Total: 6216 	 n-gon: 224
Top: 6216 	 Side: 112 	 Total: 6328 	 n-gon: 226
Top: 6328 	 Side: 113 	 Total: 6441 	 n-gon: 228
Top: 6441 	 Side: 114 	 Total: 6555 	 n-gon: 230
Top: 6555 	 Side: 115 	 Total: 6670 	 n-gon: 232
Top: 6670 	 Side: 116 	 Total: 6786 	 n-gon: 234
Top: 6786 	 Side: 117 	 Total: 6903 	 n-gon: 236
Top: 6903 	 Side: 118 	 Total: 7021 	 n-gon: 238
Top: 7021 	 Side: 119 	 Total: 7140 	 n-gon: 240
Top: 7140 	 Side: 120 	 Total: 7260 	 n-gon: 242
Top: 7260 	 Side: 121 	 Total: 7381 	 n-gon: 244
Top: 7381 	 Side: 122 	 Total: 7503 	 n-gon: 246
Top: 7503 	 Side: 123 	 Total: 7626 	 n-gon: 248
Top: 7626 	 Side: 124 	 Total: 7750 	 n-gon: 250
Top: 7750 	 Side: 125 	 Total: 7875 	 n-gon: 252
Top: 7875 	 Side: 126 	 Total: 8001 	 n-gon: 254
Top: 8001 	 Side: 127 	 Total: 8128 	 n-gon: 256
Top: 8128 	 Side: 128 	 Total: 8256 	 n-gon: 258
Top: 8256 	 Side: 129 	 Total: 8385 	 n-gon: 260
Top: 8385 	 Side: 130 	 Total: 8515 	 n-gon: 262
Top: 8515 	 Side: 131 	 Total: 8646 	 n-gon: 264
Top: 8646 	 Side: 132 	 Total: 8778 	 n-gon: 266
Top: 8778 	 Side: 133 	 Total: 8911 	 n-gon: 268
Top: 8911 	 Side: 134 	 Total: 9045 	 n-gon: 270
Top: 9045 	 Side: 135 	 Total: 9180 	 n-gon: 272
Top: 9180 	 Side: 136 	 Total: 9316 	 n-gon: 274
Top: 9316 	 Side: 137 	 Total: 9453 	 n-gon: 276
Top: 9453 	 Side: 138 	 Total: 9591 	 n-gon: 278
Top: 9591 	 Side: 139 	 Total: 9730 	 n-gon: 280
Top: 9730 	 Side: 140 	 Total: 9870 	 n-gon: 282
Top: 9870 	 Side: 141 	 Total: 10011 	 n-gon: 284
Top: 10011 	 Side: 142 	 Total: 10153 	 n-gon: 286
Top: 10153 	 Side: 143 	 Total: 10296 	 n-gon: 288
Top: 10296 	 Side: 144 	 Total: 10440 	 n-gon: 290
Top: 10440 	 Side: 145 	 Total: 10585 	 n-gon: 292
